nrep Nvals NCD pAvals pBvals pCvals pDvals rab rcd mr_2_True mr_2_hap mr_2_geno sdr_2_True sdr_2_hap sdr_2_geno corhg hapb genp
1000 100 100 0.05 0.05 0.05 0.05 0.2 0.2 0.2 0.214090516744538 0.217163350801121 0 0.128729332899703 0.135986807391393 0.933133027717863 0.000560156921586481 7.05425399014685e-05
1000 100 100 0.05 0.05 0.15 0.15 0.2 0.2 0.2 0.214118951319813 0.216625498552685 0 0.0955353626632346 0.103744211838881 0.910869654826133 3.36714789314956e-06 4.79552572217602e-07
1000 100 100 0.05 0.05 0.25 0.25 0.2 0.2 0.2 0.206792211143079 0.20730451501687 0 0.0812200658350448 0.0891104262676144 0.907280237111256 0.00830884490382395 0.00967660912467374
1000 100 100 0.05 0.05 0.35 0.35 0.2 0.2 0.2 0.207118206069575 0.206890553933361 0 0.0794728691401791 0.0868074509123076 0.896654363635716 0.00471314358751247 0.0122256237172932
1000 100 100 0.05 0.05 0.45 0.45 0.2 0.2 0.2 0.206210881739689 0.205490879959522 0 0.0749498690084986 0.0824886281389963 0.899066542942383 0.00891364467074441 0.0355423223550659
1000 100 100 0.05 0.05 0.05 0.05 0.2 0.2 0.2 0.223625491095262 0.227404680986375 0 0.129082479560775 0.138243825865307 0.934181444642138 9.5400105729304e-09 5.40721830521443e-10
1000 100 100 0.05 0.05 0.15 0.15 0.2 0.2 0.2 0.208183820003231 0.209253291831284 0 0.0962535388600119 0.10222010635772 0.910672336204083 0.00729289193407294 0.00428965762013713
1000 100 100 0.05 0.05 0.25 0.25 0.2 0.2 0.2 0.208715124477285 0.212468742278097 0 0.0794349140120107 0.0876532105655062 0.885949442740753 0.00054376894870023 7.65130818339871e-06
1000 100 100 0.05 0.05 0.35 0.35 0.2 0.2 0.2 0.204581595824812 0.204646352643252 0 0.0776315075607041 0.083616599142609 0.904431635153314 0.0622938615551809 0.0791910711514699
1000 100 100 0.05 0.05 0.45 0.45 0.2 0.2 0.2 0.208676800560916 0.208943597988393 0 0.0773292386994899 0.0830111391340633 0.908771179707085 0.000405810978105025 0.000682921907167056
1000 100 100 0.15 0.15 0.15 0.15 0.2 0.2 0.2 0.20902015314263 0.211833623519505 0 0.0790237858081755 0.0936578872536661 0.840978184457307 0.000321921940108797 6.92929014962325e-05
1000 100 100 0.15 0.15 0.25 0.25 0.2 0.2 0.2 0.207130366297488 0.209133182090821 0 0.0719030228958254 0.0878115522550454 0.830333919950516 0.00176324188634088 0.00104036292630422
1000 100 100 0.15 0.15 0.35 0.35 0.2 0.2 0.2 0.204624667921624 0.205332906842533 0 0.065747644537513 0.0782087372601722 0.795773482871199 0.0263486958130411 0.0312985402088071
1000 100 100 0.15 0.15 0.45 0.45 0.2 0.2 0.2 0.208081956219392 0.212265956054259 0 0.0643639035744059 0.0787972976208204 0.808069223207328 7.67779453556152e-05 9.98857897520552e-07
1000 100 100 0.15 0.15 0.15 0.15 0.2 0.2 0.2 0.208532593882082 0.215401931957175 0 0.0771395932253464 0.0920943824666446 0.851007031388432 0.00048964267651919 1.51407806989131e-07
1000 100 100 0.15 0.15 0.25 0.25 0.2 0.2 0.2 0.207098922226489 0.212496362594393 0 0.070718210594099 0.0858466056533276 0.817858174181827 0.00154740450540799 4.69599231014249e-06
1000 100 100 0.15 0.15 0.35 0.35 0.2 0.2 0.2 0.209804073598299 0.211333895146221 0 0.0671414759643578 0.0811965525019081 0.792842361657533 4.38833423589442e-06 1.12468613625797e-05
1000 100 100 0.15 0.15 0.45 0.45 0.2 0.2 0.2 0.205367959559468 0.209086947612466 0 0.0652893892085085 0.081004190098548 0.82005221889365 0.00946105887869261 0.000407122283547206
1000 100 100 0.25 0.25 0.25 0.25 0.2 0.2 0.2 0.20460321737791 0.207355979236806 0 0.0619802884219949 0.0790219562152192 0.786040529571844 0.0190385707292606 0.00331825035378023
1000 100 100 0.25 0.25 0.35 0.35 0.2 0.2 0.2 0.207486211254926 0.210922608514542 0 0.062725061743201 0.0798731570662635 0.770827937788105 0.000169998080970013 1.68282895120053e-05
1000 100 100 0.25 0.25 0.45 0.45 0.2 0.2 0.2 0.204983818210088 0.203926489038426 0 0.0598416418859343 0.0774380951970366 0.754826632024217 0.00857769649286538 0.109156069943376
1000 100 100 0.25 0.25 0.25 0.25 0.2 0.2 0.2 0.20296443877649 0.204900487019851 0 0.0631844976638365 0.0798720998175912 0.767226949991011 0.138216770686734 0.0526377901676108
1000 100 100 0.25 0.25 0.35 0.35 0.2 0.2 0.2 0.20326464963425 0.208723840613154 0 0.061059389462517 0.0780611474556075 0.766681992362008 0.0911929773904215 0.000427983253352778
1000 100 100 0.25 0.25 0.45 0.45 0.2 0.2 0.2 0.20452375798479 0.20809749863458 0 0.0605935976921825 0.0805025408645689 0.789078395327181 0.0184232339790215 0.00151375793270653
1000 100 100 0.35 0.35 0.35 0.35 0.2 0.2 0.2 0.203245463202627 0.204676913642669 0 0.0576548221278387 0.0750190048982584 0.740413358179788 0.0753657258437634 0.0489468640477563
1000 100 100 0.35 0.35 0.45 0.45 0.2 0.2 0.2 0.204433569833401 0.207357991882972 0 0.0573002235163726 0.0741821776140222 0.759929652722941 0.0145847940224434 0.00175916083852772
1000 100 100 0.35 0.35 0.35 0.35 0.2 0.2 0.2 0.203919064669356 0.208398623078172 0 0.0564042846274303 0.0740898729251202 0.739839921992782 0.0282348865629005 0.000353819399714346
