NCD pAvals pCvals pp pc Dprime Method r2value sd Method2
300Ha 0.35 0.35 0.35-0.35 0.35 0.8 Ha 0.801 0.035 Ha300Ha
900Ha 0.35 0.35 0.35-0.35 0.35 0.8 Ha 0.8 0.019 Ha900Ha
1800Ha 0.35 0.35 0.35-0.35 0.35 0.8 Ha 0.8 0.014 Ha1800Ha
2700Ha 0.35 0.35 0.35-0.35 0.35 0.8 Ha 0.8 0.011 Ha2700Ha
100Ha 0.05 0.45 0.05-0.45 0.25 0.8 Ha 0.798 0.074 Ha100Ha
300Ha 0.05 0.45 0.05-0.45 0.25 0.8 Ha 0.802 0.042 Ha300Ha
900Ha 0.05 0.45 0.05-0.45 0.25 0.8 Ha 0.8 0.024 Ha900Ha
1800Ha 0.05 0.45 0.05-0.45 0.25 0.8 Ha 0.801 0.017 Ha1800Ha
2700Ha 0.05 0.45 0.05-0.45 0.25 0.8 Ha 0.8 0.015 Ha2700Ha
100Ha 0.15 0.45 0.15-0.45 0.3 0.8 Ha 0.802 0.065 Ha100Ha
300Ha 0.15 0.45 0.15-0.45 0.3 0.8 Ha 0.799 0.038 Ha300Ha
900Ha 0.15 0.45 0.15-0.45 0.3 0.8 Ha 0.801 0.022 Ha900Ha
1800Ha 0.15 0.45 0.15-0.45 0.3 0.8 Ha 0.8 0.015 Ha1800Ha
2700Ha 0.15 0.45 0.15-0.45 0.3 0.8 Ha 0.8 0.013 Ha2700Ha
100Ha 0.25 0.45 0.25-0.45 0.35 0.8 Ha 0.804 0.06 Ha100Ha
300Ha 0.25 0.45 0.25-0.45 0.35 0.8 Ha 0.799 0.036 Ha300Ha
900Ha 0.25 0.45 0.25-0.45 0.35 0.8 Ha 0.8 0.02 Ha900Ha
1800Ha 0.25 0.45 0.25-0.45 0.35 0.8 Ha 0.8 0.014 Ha1800Ha
2700Ha 0.25 0.45 0.25-0.45 0.35 0.8 Ha 0.8 0.012 Ha2700Ha
100Ha 0.35 0.45 0.35-0.45 0.4 0.8 Ha 0.8 0.057 Ha100Ha
300Ha 0.35 0.45 0.35-0.45 0.4 0.8 Ha 0.8 0.034 Ha300Ha
900Ha 0.35 0.45 0.35-0.45 0.4 0.8 Ha 0.8 0.019 Ha900Ha
1800Ha 0.35 0.45 0.35-0.45 0.4 0.8 Ha 0.8 0.014 Ha1800Ha
2700Ha 0.35 0.45 0.35-0.45 0.4 0.8 Ha 0.8 0.011 Ha2700Ha
100Ha 0.45 0.45 0.45-0.45 0.45 0.8 Ha 0.8 0.057 Ha100Ha
300Ha 0.45 0.45 0.45-0.45 0.45 0.8 Ha 0.8 0.033 Ha300Ha
900Ha 0.45 0.45 0.45-0.45 0.45 0.8 Ha 0.8 0.019 Ha900Ha
1800Ha 0.45 0.45 0.45-0.45 0.45 0.8 Ha 0.8 0.013 Ha1800Ha
2700Ha 0.45 0.45 0.45-0.45 0.45 0.8 Ha 0.8 0.011 Ha2700Ha
100Ge 0.05 0.05 0.05-0.05 0.05 0.2 Ge 0.219 0.136 Ge100Ge
300Ge 0.05 0.05 0.05-0.05 0.05 0.2 Ge 0.206 0.079 Ge300Ge
900Ge 0.05 0.05 0.05-0.05 0.05 0.2 Ge 0.203 0.046 Ge900Ge
1800Ge 0.05 0.05 0.05-0.05 0.05 0.2 Ge 0.202 0.032 Ge1800Ge
2700Ge 0.05 0.05 0.05-0.05 0.05 0.2 Ge 0.2 0.026 Ge2700Ge
100Ge 0.05 0.15 0.05-0.15 0.1 0.2 Ge 0.211 0.103 Ge100Ge
300Ge 0.05 0.15 0.05-0.15 0.1 0.2 Ge 0.204 0.06 Ge300Ge
900Ge 0.05 0.15 0.05-0.15 0.1 0.2 Ge 0.201 0.035 Ge900Ge
1800Ge 0.05 0.15 0.05-0.15 0.1 0.2 Ge 0.201 0.025 Ge1800Ge
2700Ge 0.05 0.15 0.05-0.15 0.1 0.2 Ge 0.2 0.02 Ge2700Ge
100Ge 0.15 0.15 0.15-0.15 0.15 0.2 Ge 0.209 0.092 Ge100Ge
300Ge 0.15 0.15 0.15-0.15 0.15 0.2 Ge 0.204 0.054 Ge300Ge
900Ge 0.15 0.15 0.15-0.15 0.15 0.2 Ge 0.201 0.031 Ge900Ge
1800Ge 0.15 0.15 0.15-0.15 0.15 0.2 Ge 0.2 0.022 Ge1800Ge
2700Ge 0.15 0.15 0.15-0.15 0.15 0.2 Ge 0.2 0.019 Ge2700Ge
100Ge 0.05 0.25 0.05-0.25 0.15 0.2 Ge 0.21 0.09 Ge100Ge
300Ge 0.05 0.25 0.05-0.25 0.15 0.2 Ge 0.203 0.053 Ge300Ge
900Ge 0.05 0.25 0.05-0.25 0.15 0.2 Ge 0.202 0.031 Ge900Ge
1800Ge 0.05 0.25 0.05-0.25 0.15 0.2 Ge 0.201 0.022 Ge1800Ge
2700Ge 0.05 0.25 0.05-0.25 0.15 0.2 Ge 0.2 0.018 Ge2700Ge
100Ge 0.15 0.25 0.15-0.25 0.2 0.2 Ge 0.209 0.086 Ge100Ge
300Ge 0.15 0.25 0.15-0.25 0.2 0.2 Ge 0.203 0.05 Ge300Ge
900Ge 0.15 0.25 0.15-0.25 0.2 0.2 Ge 0.201 0.028 Ge900Ge
1800Ge 0.15 0.25 0.15-0.25 0.2 0.2 Ge 0.201 0.02 Ge1800Ge
2700Ge 0.15 0.25 0.15-0.25 0.2 0.2 Ge 0.2 0.017 Ge2700Ge
100Ge 0.25 0.25 0.25-0.25 0.25 0.2 Ge 0.207 0.08 Ge100Ge
300Ge 0.25 0.25 0.25-0.25 0.25 0.2 Ge 0.202 0.047 Ge300Ge
900Ge 0.25 0.25 0.25-0.25 0.25 0.2 Ge 0.201 0.027 Ge900Ge
1800Ge 0.25 0.25 0.25-0.25 0.25 0.2 Ge 0.2 0.019 Ge1800Ge
2700Ge 0.25 0.25 0.25-0.25 0.25 0.2 Ge 0.2 0.016 Ge2700Ge
100Ge 0.05 0.35 0.05-0.35 0.2 0.2 Ge 0.207 0.085 Ge100Ge
300Ge 0.05 0.35 0.05-0.35 0.2 0.2 Ge 0.203 0.049 Ge300Ge
900Ge 0.05 0.35 0.05-0.35 0.2 0.2 Ge 0.201 0.028 Ge900Ge
1800Ge 0.05 0.35 0.05-0.35 0.2 0.2 Ge 0.201 0.02 Ge1800Ge
2700Ge 0.05 0.35 0.05-0.35 0.2 0.2 Ge 0.2 0.016 Ge2700Ge
100Ge 0.15 0.35 0.15-0.35 0.25 0.2 Ge 0.207 0.08 Ge100Ge
300Ge 0.15 0.35 0.15-0.35 0.25 0.2 Ge 0.202 0.047 Ge300Ge
900Ge 0.15 0.35 0.15-0.35 0.25 0.2 Ge 0.201 0.028 Ge900Ge
1800Ge 0.15 0.35 0.15-0.35 0.25 0.2 Ge 0.201 0.02 Ge1800Ge
2700Ge 0.15 0.35 0.15-0.35 0.25 0.2 Ge 0.2 0.016 Ge2700Ge
100Ge 0.25 0.35 0.25-0.35 0.3 0.2 Ge 0.207 0.078 Ge100Ge
300Ge 0.25 0.35 0.25-0.35 0.3 0.2 Ge 0.203 0.046 Ge300Ge
900Ge 0.25 0.35 0.25-0.35 0.3 0.2 Ge 0.202 0.026 Ge900Ge
1800Ge 0.25 0.35 0.25-0.35 0.3 0.2 Ge 0.201 0.019 Ge1800Ge
2700Ge 0.25 0.35 0.25-0.35 0.3 0.2 Ge 0.2 0.015 Ge2700Ge
100Ge 0.35 0.35 0.35-0.35 0.35 0.2 Ge 0.206 0.077 Ge100Ge
300Ge 0.35 0.35 0.35-0.35 0.35 0.2 Ge 0.202 0.046 Ge300Ge
900Ge 0.35 0.35 0.35-0.35 0.35 0.2 Ge 0.201 0.026 Ge900Ge
1800Ge 0.35 0.35 0.35-0.35 0.35 0.2 Ge 0.2 0.019 Ge1800Ge
2700Ge 0.35 0.35 0.35-0.35 0.35 0.2 Ge 0.2 0.015 Ge2700Ge
100Ge 0.05 0.45 0.05-0.45 0.25 0.2 Ge 0.209 0.082 Ge100Ge
300Ge 0.05 0.45 0.05-0.45 0.25 0.2 Ge 0.203 0.047 Ge300Ge
900Ge 0.05 0.45 0.05-0.45 0.25 0.2 Ge 0.2 0.027 Ge900Ge
1800Ge 0.05 0.45 0.05-0.45 0.25 0.2 Ge 0.2 0.019 Ge1800Ge
2700Ge 0.05 0.45 0.05-0.45 0.25 0.2 Ge 0.2 0.016 Ge2700Ge
100Ge 0.15 0.45 0.15-0.45 0.3 0.2 Ge 0.208 0.079 Ge100Ge
300Ge 0.15 0.45 0.15-0.45 0.3 0.2 Ge 0.204 0.047 Ge300Ge
900Ge 0.15 0.45 0.15-0.45 0.3 0.2 Ge 0.2 0.027 Ge900Ge
1800Ge 0.15 0.45 0.15-0.45 0.3 0.2 Ge 0.201 0.019 Ge1800Ge
2700Ge 0.15 0.45 0.15-0.45 0.3 0.2 Ge 0.2 0.015 Ge2700Ge
100Ge 0.25 0.45 0.25-0.45 0.35 0.2 Ge 0.207 0.078 Ge100Ge
300Ge 0.25 0.45 0.25-0.45 0.35 0.2 Ge 0.203 0.045 Ge300Ge
900Ge 0.25 0.45 0.25-0.45 0.35 0.2 Ge 0.201 0.026 Ge900Ge
1800Ge 0.25 0.45 0.25-0.45 0.35 0.2 Ge 0.201 0.018 Ge1800Ge
2700Ge 0.25 0.45 0.25-0.45 0.35 0.2 Ge 0.199 0.015 Ge2700Ge
100Ge 0.35 0.45 0.35-0.45 0.4 0.2 Ge 0.207 0.077 Ge100Ge
300Ge 0.35 0.45 0.35-0.45 0.4 0.2 Ge 0.202 0.044 Ge300Ge
900Ge 0.35 0.45 0.35-0.45 0.4 0.2 Ge 0.2 0.026 Ge900Ge
1800Ge 0.35 0.45 0.35-0.45 0.4 0.2 Ge 0.2 0.018 Ge1800Ge
2700Ge 0.35 0.45 0.35-0.45 0.4 0.2 Ge 0.2 0.015 Ge2700Ge
100Ge 0.45 0.45 0.45-0.45 0.45 0.2 Ge 0.207 0.075 Ge100Ge
300Ge 0.45 0.45 0.45-0.45 0.45 0.2 Ge 0.203 0.044 Ge300Ge
900Ge 0.45 0.45 0.45-0.45 0.45 0.2 Ge 0.201 0.025 Ge900Ge
1800Ge 0.45 0.45 0.45-0.45 0.45 0.2 Ge 0.2 0.018 Ge1800Ge
2700Ge 0.45 0.45 0.45-0.45 0.45 0.2 Ge 0.2 0.014 Ge2700Ge
100Ge 0.05 0.05 0.05-0.05 0.05 0.4 Ge 0.416 0.171 Ge100Ge
300Ge 0.05 0.05 0.05-0.05 0.05 0.4 Ge 0.402 0.098 Ge300Ge
900Ge 0.05 0.05 0.05-0.05 0.05 0.4 Ge 0.4 0.057 Ge900Ge
1800Ge 0.05 0.05 0.05-0.05 0.05 0.4 Ge 0.401 0.04 Ge1800Ge
2700Ge 0.05 0.05 0.05-0.05 0.05 0.4 Ge 0.4 0.033 Ge2700Ge
100Ge 0.05 0.15 0.05-0.15 0.1 0.4 Ge 0.408 0.126 Ge100Ge
300Ge 0.05 0.15 0.05-0.15 0.1 0.4 Ge 0.402 0.074 Ge300Ge
900Ge 0.05 0.15 0.05-0.15 0.1 0.4 Ge 0.4 0.043 Ge900Ge
1800Ge 0.05 0.15 0.05-0.15 0.1 0.4 Ge 0.4 0.03 Ge1800Ge
2700Ge 0.05 0.15 0.05-0.15 0.1 0.4 Ge 0.4 0.024 Ge2700Ge
100Ge 0.15 0.15 0.15-0.15 0.15 0.4 Ge 0.407 0.112 Ge100Ge
300Ge 0.15 0.15 0.15-0.15 0.15 0.4 Ge 0.402 0.064 Ge300Ge
900Ge 0.15 0.15 0.15-0.15 0.15 0.4 Ge 0.401 0.037 Ge900Ge
1800Ge 0.15 0.15 0.15-0.15 0.15 0.4 Ge 0.401 0.026 Ge1800Ge
2700Ge 0.15 0.15 0.15-0.15 0.15 0.4 Ge 0.401 0.022 Ge2700Ge
100Ge 0.05 0.25 0.05-0.25 0.15 0.4 Ge 0.408 0.107 Ge100Ge
300Ge 0.05 0.25 0.05-0.25 0.15 0.4 Ge 0.402 0.063 Ge300Ge
900Ge 0.05 0.25 0.05-0.25 0.15 0.4 Ge 0.401 0.037 Ge900Ge
1800Ge 0.05 0.25 0.05-0.25 0.15 0.4 Ge 0.4 0.026 Ge1800Ge
2700Ge 0.05 0.25 0.05-0.25 0.15 0.4 Ge 0.4 0.021 Ge2700Ge
100Ge 0.15 0.25 0.15-0.25 0.2 0.4 Ge 0.407 0.102 Ge100Ge
300Ge 0.15 0.25 0.15-0.25 0.2 0.4 Ge 0.401 0.059 Ge300Ge
900Ge 0.15 0.25 0.15-0.25 0.2 0.4 Ge 0.4 0.034 Ge900Ge
1800Ge 0.15 0.25 0.15-0.25 0.2 0.4 Ge 0.399 0.024 Ge1800Ge
2700Ge 0.15 0.25 0.15-0.25 0.2 0.4 Ge 0.4 0.02 Ge2700Ge
100Ge 0.25 0.25 0.25-0.25 0.25 0.4 Ge 0.404 0.095 Ge100Ge
300Ge 0.25 0.25 0.25-0.25 0.25 0.4 Ge 0.401 0.055 Ge300Ge
900Ge 0.25 0.25 0.25-0.25 0.25 0.4 Ge 0.401 0.032 Ge900Ge
1800Ge 0.25 0.25 0.25-0.25 0.25 0.4 Ge 0.4 0.022 Ge1800Ge
2700Ge 0.25 0.25 0.25-0.25 0.25 0.4 Ge 0.4 0.019 Ge2700Ge
100Ge 0.05 0.35 0.05-0.35 0.2 0.4 Ge 0.405 0.101 Ge100Ge
300Ge 0.05 0.35 0.05-0.35 0.2 0.4 Ge 0.402 0.058 Ge300Ge
900Ge 0.05 0.35 0.05-0.35 0.2 0.4 Ge 0.4 0.034 Ge900Ge
1800Ge 0.05 0.35 0.05-0.35 0.2 0.4 Ge 0.4 0.024 Ge1800Ge
2700Ge 0.05 0.35 0.05-0.35 0.2 0.4 Ge 0.4 0.02 Ge2700Ge
100Ge 0.15 0.35 0.15-0.35 0.25 0.4 Ge 0.406 0.095 Ge100Ge
300Ge 0.15 0.35 0.15-0.35 0.25 0.4 Ge 0.401 0.056 Ge300Ge
900Ge 0.15 0.35 0.15-0.35 0.25 0.4 Ge 0.401 0.033 Ge900Ge
1800Ge 0.15 0.35 0.15-0.35 0.25 0.4 Ge 0.401 0.023 Ge1800Ge
2700Ge 0.15 0.35 0.15-0.35 0.25 0.4 Ge 0.4 0.019 Ge2700Ge
100Ge 0.25 0.35 0.25-0.35 0.3 0.4 Ge 0.404 0.093 Ge100Ge
300Ge 0.25 0.35 0.25-0.35 0.3 0.4 Ge 0.401 0.054 Ge300Ge
900Ge 0.25 0.35 0.25-0.35 0.3 0.4 Ge 0.4 0.031 Ge900Ge
1800Ge 0.25 0.35 0.25-0.35 0.3 0.4 Ge 0.401 0.022 Ge1800Ge
2700Ge 0.25 0.35 0.25-0.35 0.3 0.4 Ge 0.4 0.018 Ge2700Ge
100Ge 0.35 0.35 0.35-0.35 0.35 0.4 Ge 0.405 0.089 Ge100Ge
300Ge 0.35 0.35 0.35-0.35 0.35 0.4 Ge 0.402 0.051 Ge300Ge
900Ge 0.35 0.35 0.35-0.35 0.35 0.4 Ge 0.4 0.03 Ge900Ge
1800Ge 0.35 0.35 0.35-0.35 0.35 0.4 Ge 0.399 0.022 Ge1800Ge
2700Ge 0.35 0.35 0.35-0.35 0.35 0.4 Ge 0.4 0.017 Ge2700Ge
100Ge 0.05 0.45 0.05-0.45 0.25 0.4 Ge 0.403 0.096 Ge100Ge
300Ge 0.05 0.45 0.05-0.45 0.25 0.4 Ge 0.4 0.056 Ge300Ge
900Ge 0.05 0.45 0.05-0.45 0.25 0.4 Ge 0.401 0.033 Ge900Ge
1800Ge 0.05 0.45 0.05-0.45 0.25 0.4 Ge 0.399 0.023 Ge1800Ge
2700Ge 0.05 0.45 0.05-0.45 0.25 0.4 Ge 0.4 0.019 Ge2700Ge
100Ge 0.15 0.45 0.15-0.45 0.3 0.4 Ge 0.404 0.092 Ge100Ge
300Ge 0.15 0.45 0.15-0.45 0.3 0.4 Ge 0.402 0.055 Ge300Ge
900Ge 0.15 0.45 0.15-0.45 0.3 0.4 Ge 0.4 0.032 Ge900Ge
1800Ge 0.15 0.45 0.15-0.45 0.3 0.4 Ge 0.401 0.022 Ge1800Ge
2700Ge 0.15 0.45 0.15-0.45 0.3 0.4 Ge 0.4 0.018 Ge2700Ge
100Ge 0.25 0.45 0.25-0.45 0.35 0.4 Ge 0.406 0.09 Ge100Ge
300Ge 0.25 0.45 0.25-0.45 0.35 0.4 Ge 0.402 0.053 Ge300Ge
900Ge 0.25 0.45 0.25-0.45 0.35 0.4 Ge 0.4 0.031 Ge900Ge
1800Ge 0.25 0.45 0.25-0.45 0.35 0.4 Ge 0.4 0.021 Ge1800Ge
2700Ge 0.25 0.45 0.25-0.45 0.35 0.4 Ge 0.4 0.018 Ge2700Ge
100Ge 0.35 0.45 0.35-0.45 0.4 0.4 Ge 0.404 0.088 Ge100Ge
300Ge 0.35 0.45 0.35-0.45 0.4 0.4 Ge 0.401 0.051 Ge300Ge
900Ge 0.35 0.45 0.35-0.45 0.4 0.4 Ge 0.4 0.03 Ge900Ge
1800Ge 0.35 0.45 0.35-0.45 0.4 0.4 Ge 0.401 0.021 Ge1800Ge
2700Ge 0.35 0.45 0.35-0.45 0.4 0.4 Ge 0.4 0.017 Ge2700Ge
100Ge 0.45 0.45 0.45-0.45 0.45 0.4 Ge 0.402 0.087 Ge100Ge
300Ge 0.45 0.45 0.45-0.45 0.45 0.4 Ge 0.401 0.05 Ge300Ge
900Ge 0.45 0.45 0.45-0.45 0.45 0.4 Ge 0.4 0.029 Ge900Ge
1800Ge 0.45 0.45 0.45-0.45 0.45 0.4 Ge 0.4 0.02 Ge1800Ge
2700Ge 0.45 0.45 0.45-0.45 0.45 0.4 Ge 0.4 0.017 Ge2700Ge
100Ge 0.05 0.05 0.05-0.05 0.05 0.6 Ge 0.603 0.172 Ge100Ge
300Ge 0.05 0.05 0.05-0.05 0.05 0.6 Ge 0.603 0.097 Ge300Ge
900Ge 0.05 0.05 0.05-0.05 0.05 0.6 Ge 0.601 0.057 Ge900Ge
1800Ge 0.05 0.05 0.05-0.05 0.05 0.6 Ge 0.599 0.04 Ge1800Ge
2700Ge 0.05 0.05 0.05-0.05 0.05 0.6 Ge 0.6 0.033 Ge2700Ge
100Ge 0.05 0.15 0.05-0.15 0.1 0.6 Ge 0.602 0.127 Ge100Ge
300Ge 0.05 0.15 0.05-0.15 0.1 0.6 Ge 0.6 0.072 Ge300Ge
900Ge 0.05 0.15 0.05-0.15 0.1 0.6 Ge 0.6 0.042 Ge900Ge
1800Ge 0.05 0.15 0.05-0.15 0.1 0.6 Ge 0.601 0.03 Ge1800Ge
2700Ge 0.05 0.15 0.05-0.15 0.1 0.6 Ge 0.6 0.024 Ge2700Ge
100Ge 0.15 0.15 0.15-0.15 0.15 0.6 Ge 0.603 0.107 Ge100Ge
300Ge 0.15 0.15 0.15-0.15 0.15 0.6 Ge 0.601 0.062 Ge300Ge
900Ge 0.15 0.15 0.15-0.15 0.15 0.6 Ge 0.6 0.036 Ge900Ge
1800Ge 0.15 0.15 0.15-0.15 0.15 0.6 Ge 0.6 0.025 Ge1800Ge
2700Ge 0.15 0.15 0.15-0.15 0.15 0.6 Ge 0.599 0.021 Ge2700Ge
100Ge 0.05 0.25 0.05-0.25 0.15 0.6 Ge 0.602 0.107 Ge100Ge
300Ge 0.05 0.25 0.05-0.25 0.15 0.6 Ge 0.602 0.061 Ge300Ge
900Ge 0.05 0.25 0.05-0.25 0.15 0.6 Ge 0.6 0.036 Ge900Ge
1800Ge 0.05 0.25 0.05-0.25 0.15 0.6 Ge 0.6 0.025 Ge1800Ge
2700Ge 0.05 0.25 0.05-0.25 0.15 0.6 Ge 0.6 0.021 Ge2700Ge
100Ge 0.15 0.25 0.15-0.25 0.2 0.6 Ge 0.603 0.097 Ge100Ge
300Ge 0.15 0.25 0.15-0.25 0.2 0.6 Ge 0.601 0.055 Ge300Ge
900Ge 0.15 0.25 0.15-0.25 0.2 0.6 Ge 0.6 0.033 Ge900Ge
1800Ge 0.15 0.25 0.15-0.25 0.2 0.6 Ge 0.6 0.023 Ge1800Ge
2700Ge 0.15 0.25 0.15-0.25 0.2 0.6 Ge 0.6 0.019 Ge2700Ge
100Ge 0.25 0.25 0.25-0.25 0.25 0.6 Ge 0.601 0.092 Ge100Ge
300Ge 0.25 0.25 0.25-0.25 0.25 0.6 Ge 0.601 0.053 Ge300Ge
900Ge 0.25 0.25 0.25-0.25 0.25 0.6 Ge 0.6 0.031 Ge900Ge
1800Ge 0.25 0.25 0.25-0.25 0.25 0.6 Ge 0.6 0.022 Ge1800Ge
2700Ge 0.25 0.25 0.25-0.25 0.25 0.6 Ge 0.6 0.018 Ge2700Ge
100Ge 0.05 0.35 0.05-0.35 0.2 0.6 Ge 0.603 0.099 Ge100Ge
300Ge 0.05 0.35 0.05-0.35 0.2 0.6 Ge 0.601 0.057 Ge300Ge
900Ge 0.05 0.35 0.05-0.35 0.2 0.6 Ge 0.6 0.033 Ge900Ge
1800Ge 0.05 0.35 0.05-0.35 0.2 0.6 Ge 0.601 0.023 Ge1800Ge
2700Ge 0.05 0.35 0.05-0.35 0.2 0.6 Ge 0.6 0.019 Ge2700Ge
100Ge 0.15 0.35 0.15-0.35 0.25 0.6 Ge 0.602 0.092 Ge100Ge
300Ge 0.15 0.35 0.15-0.35 0.25 0.6 Ge 0.601 0.054 Ge300Ge
900Ge 0.15 0.35 0.15-0.35 0.25 0.6 Ge 0.601 0.031 Ge900Ge
1800Ge 0.15 0.35 0.15-0.35 0.25 0.6 Ge 0.6 0.022 Ge1800Ge
2700Ge 0.15 0.35 0.15-0.35 0.25 0.6 Ge 0.6 0.018 Ge2700Ge
100Ge 0.25 0.35 0.25-0.35 0.3 0.6 Ge 0.604 0.086 Ge100Ge
300Ge 0.25 0.35 0.25-0.35 0.3 0.6 Ge 0.6 0.051 Ge300Ge
900Ge 0.25 0.35 0.25-0.35 0.3 0.6 Ge 0.6 0.029 Ge900Ge
1800Ge 0.25 0.35 0.25-0.35 0.3 0.6 Ge 0.6 0.021 Ge1800Ge
2700Ge 0.25 0.35 0.25-0.35 0.3 0.6 Ge 0.6 0.017 Ge2700Ge
100Ge 0.35 0.35 0.35-0.35 0.35 0.6 Ge 0.604 0.085 Ge100Ge
300Ge 0.35 0.35 0.35-0.35 0.35 0.6 Ge 0.601 0.049 Ge300Ge
900Ge 0.35 0.35 0.35-0.35 0.35 0.6 Ge 0.6 0.028 Ge900Ge
1800Ge 0.35 0.35 0.35-0.35 0.35 0.6 Ge 0.6 0.02 Ge1800Ge
2700Ge 0.35 0.35 0.35-0.35 0.35 0.6 Ge 0.6 0.016 Ge2700Ge
100Ge 0.05 0.45 0.05-0.45 0.25 0.6 Ge 0.602 0.096 Ge100Ge
300Ge 0.05 0.45 0.05-0.45 0.25 0.6 Ge 0.601 0.056 Ge300Ge
900Ge 0.05 0.45 0.05-0.45 0.25 0.6 Ge 0.6 0.032 Ge900Ge
1800Ge 0.05 0.45 0.05-0.45 0.25 0.6 Ge 0.6 0.023 Ge1800Ge
2700Ge 0.05 0.45 0.05-0.45 0.25 0.6 Ge 0.601 0.018 Ge2700Ge
100Ge 0.15 0.45 0.15-0.45 0.3 0.6 Ge 0.601 0.09 Ge100Ge
300Ge 0.15 0.45 0.15-0.45 0.3 0.6 Ge 0.601 0.052 Ge300Ge
900Ge 0.15 0.45 0.15-0.45 0.3 0.6 Ge 0.6 0.03 Ge900Ge
1800Ge 0.15 0.45 0.15-0.45 0.3 0.6 Ge 0.601 0.021 Ge1800Ge
2700Ge 0.15 0.45 0.15-0.45 0.3 0.6 Ge 0.6 0.018 Ge2700Ge
100Ge 0.25 0.45 0.25-0.45 0.35 0.6 Ge 0.604 0.085 Ge100Ge
300Ge 0.25 0.45 0.25-0.45 0.35 0.6 Ge 0.602 0.051 Ge300Ge
900Ge 0.25 0.45 0.25-0.45 0.35 0.6 Ge 0.6 0.028 Ge900Ge
1800Ge 0.25 0.45 0.25-0.45 0.35 0.6 Ge 0.6 0.02 Ge1800Ge
2700Ge 0.25 0.45 0.25-0.45 0.35 0.6 Ge 0.6 0.016 Ge2700Ge
100Ge 0.35 0.45 0.35-0.45 0.4 0.6 Ge 0.603 0.085 Ge100Ge
300Ge 0.35 0.45 0.35-0.45 0.4 0.6 Ge 0.602 0.049 Ge300Ge
900Ge 0.35 0.45 0.35-0.45 0.4 0.6 Ge 0.599 0.028 Ge900Ge
1800Ge 0.35 0.45 0.35-0.45 0.4 0.6 Ge 0.6 0.02 Ge1800Ge
2700Ge 0.35 0.45 0.35-0.45 0.4 0.6 Ge 0.601 0.016 Ge2700Ge
100Ge 0.45 0.45 0.45-0.45 0.45 0.6 Ge 0.604 0.08 Ge100Ge
300Ge 0.45 0.45 0.45-0.45 0.45 0.6 Ge 0.6 0.048 Ge300Ge
900Ge 0.45 0.45 0.45-0.45 0.45 0.6 Ge 0.6 0.027 Ge900Ge
1800Ge 0.45 0.45 0.45-0.45 0.45 0.6 Ge 0.6 0.019 Ge1800Ge
2700Ge 0.45 0.45 0.45-0.45 0.45 0.6 Ge 0.601 0.016 Ge2700Ge
100Ge 0.05 0.05 0.05-0.05 0.05 0.8 Ge 0.799 0.136 Ge100Ge
300Ge 0.05 0.05 0.05-0.05 0.05 0.8 Ge 0.801 0.076 Ge300Ge
900Ge 0.05 0.05 0.05-0.05 0.05 0.8 Ge 0.801 0.044 Ge900Ge
1800Ge 0.05 0.05 0.05-0.05 0.05 0.8 Ge 0.8 0.032 Ge1800Ge
2700Ge 0.05 0.05 0.05-0.05 0.05 0.8 Ge 0.799 0.026 Ge2700Ge
100Ge 0.05 0.15 0.05-0.15 0.1 0.8 Ge 0.801 0.102 Ge100Ge
300Ge 0.05 0.15 0.05-0.15 0.1 0.8 Ge 0.801 0.058 Ge300Ge
900Ge 0.05 0.15 0.05-0.15 0.1 0.8 Ge 0.8 0.033 Ge900Ge
1800Ge 0.05 0.15 0.05-0.15 0.1 0.8 Ge 0.801 0.023 Ge1800Ge
2700Ge 0.05 0.15 0.05-0.15 0.1 0.8 Ge 0.8 0.019 Ge2700Ge
100Ge 0.15 0.15 0.15-0.15 0.15 0.8 Ge 0.804 0.082 Ge100Ge
300Ge 0.15 0.15 0.15-0.15 0.15 0.8 Ge 0.799 0.049 Ge300Ge
900Ge 0.15 0.15 0.15-0.15 0.15 0.8 Ge 0.8 0.028 Ge900Ge
1800Ge 0.15 0.15 0.15-0.15 0.15 0.8 Ge 0.799 0.02 Ge1800Ge
2700Ge 0.15 0.15 0.15-0.15 0.15 0.8 Ge 0.8 0.016 Ge2700Ge
100Ge 0.05 0.25 0.05-0.25 0.15 0.8 Ge 0.803 0.084 Ge100Ge
300Ge 0.05 0.25 0.05-0.25 0.15 0.8 Ge 0.8 0.049 Ge300Ge
900Ge 0.05 0.25 0.05-0.25 0.15 0.8 Ge 0.801 0.028 Ge900Ge
1800Ge 0.05 0.25 0.05-0.25 0.15 0.8 Ge 0.8 0.02 Ge1800Ge
2700Ge 0.05 0.25 0.05-0.25 0.15 0.8 Ge 0.8 0.016 Ge2700Ge
100Ge 0.15 0.25 0.15-0.25 0.2 0.8 Ge 0.802 0.076 Ge100Ge
300Ge 0.15 0.25 0.15-0.25 0.2 0.8 Ge 0.799 0.044 Ge300Ge
900Ge 0.15 0.25 0.15-0.25 0.2 0.8 Ge 0.8 0.025 Ge900Ge
1800Ge 0.15 0.25 0.15-0.25 0.2 0.8 Ge 0.8 0.018 Ge1800Ge
2700Ge 0.15 0.25 0.15-0.25 0.2 0.8 Ge 0.8 0.015 Ge2700Ge
100Ge 0.25 0.25 0.25-0.25 0.25 0.8 Ge 0.8 0.069 Ge100Ge
