NCD pAvals pCvals pp pc Dprime Method r2value sd Method2
1800Ha 0.25 0.45 0.25-0.45 0.35 0.2 Ha 0.2 0.014 Ha1800Ha
2700Ha 0.25 0.45 0.25-0.45 0.35 0.2 Ha 0.2 0.012 Ha2700Ha
100Ha 0.35 0.45 0.35-0.45 0.4 0.2 Ha 0.203 0.058 Ha100Ha
300Ha 0.35 0.45 0.35-0.45 0.4 0.2 Ha 0.201 0.033 Ha300Ha
900Ha 0.35 0.45 0.35-0.45 0.4 0.2 Ha 0.2 0.019 Ha900Ha
1800Ha 0.35 0.45 0.35-0.45 0.4 0.2 Ha 0.2 0.014 Ha1800Ha
2700Ha 0.35 0.45 0.35-0.45 0.4 0.2 Ha 0.2 0.011 Ha2700Ha
100Ha 0.45 0.45 0.45-0.45 0.45 0.2 Ha 0.204 0.056 Ha100Ha
300Ha 0.45 0.45 0.45-0.45 0.45 0.2 Ha 0.201 0.033 Ha300Ha
900Ha 0.45 0.45 0.45-0.45 0.45 0.2 Ha 0.2 0.019 Ha900Ha
1800Ha 0.45 0.45 0.45-0.45 0.45 0.2 Ha 0.2 0.013 Ha1800Ha
2700Ha 0.45 0.45 0.45-0.45 0.45 0.2 Ha 0.2 0.011 Ha2700Ha
100Ha 0.05 0.05 0.05-0.05 0.05 0.4 Ha 0.415 0.165 Ha100Ha
300Ha 0.05 0.05 0.05-0.05 0.05 0.4 Ha 0.402 0.094 Ha300Ha
900Ha 0.05 0.05 0.05-0.05 0.05 0.4 Ha 0.4 0.054 Ha900Ha
1800Ha 0.05 0.05 0.05-0.05 0.05 0.4 Ha 0.401 0.038 Ha1800Ha
2700Ha 0.05 0.05 0.05-0.05 0.05 0.4 Ha 0.4 0.031 Ha2700Ha
100Ha 0.05 0.15 0.05-0.15 0.1 0.4 Ha 0.407 0.119 Ha100Ha
300Ha 0.05 0.15 0.05-0.15 0.1 0.4 Ha 0.402 0.069 Ha300Ha
900Ha 0.05 0.15 0.05-0.15 0.1 0.4 Ha 0.4 0.04 Ha900Ha
1800Ha 0.05 0.15 0.05-0.15 0.1 0.4 Ha 0.4 0.028 Ha1800Ha
2700Ha 0.05 0.15 0.05-0.15 0.1 0.4 Ha 0.4 0.023 Ha2700Ha
100Ha 0.15 0.15 0.15-0.15 0.15 0.4 Ha 0.406 0.099 Ha100Ha
300Ha 0.15 0.15 0.15-0.15 0.15 0.4 Ha 0.402 0.057 Ha300Ha
900Ha 0.15 0.15 0.15-0.15 0.15 0.4 Ha 0.401 0.032 Ha900Ha
1800Ha 0.15 0.15 0.15-0.15 0.15 0.4 Ha 0.401 0.023 Ha1800Ha
2700Ha 0.15 0.15 0.15-0.15 0.15 0.4 Ha 0.401 0.019 Ha2700Ha
100Ha 0.05 0.25 0.05-0.25 0.15 0.4 Ha 0.408 0.101 Ha100Ha
